nquest,Y,CN,CD1,CD2,CD,C,S
173,34207.00111,19600,0,0,0,19600,14607.00111
375,12060,9600,0,0,0,9600,2460
465,60208.8408,28500,0,0,0,28500,31708.8408
629,38311.051,24000,0,1000,1000,25000,13311.051
632,50433.153,22200,27000,0,27000,49200,1233.153
633,19177.4034,17900,0,0,0,17900,1277.4034
923,28753.48068,31000,0,250,250,31250,-2496.51932
1238,19249.93875,15600,0,2500,2500,18100,1149.9387501
1367,16760,12600,0,0,0,12600,4160
1763,11829.224389,10800,0,0,0,10800,1029.2243892
1826,14239.2272,9600,0,0,0,9600,4639.2272
1927,10945.58025,13200,0,0,0,13200,-2254.41975
1946,12469.7326,10920,0,2400,2400,13320,-850.2674
2178,31994.034,30000,0,0,0,30000,1994.034
2274,17340,15400,0,200,200,15600,1740
2447,41821.148084,22800,0,0,0,22800,19021.148084
2485,13150,12000,0,0,0,12000,1150
2886,32934.458915,33977.550115,0,0,0,33977.550115,-1043.0912
3717,17099.008095,13200,0,0,0,13200,3899.0080949
4732,3617.4034,7200,0,0,0,7200,-3582.5966
5416,23500,18600,0,0,0,18600,4900
7097,55721.8238,32800,0,0,0,32800,22921.8238
7098,38434.034,20600,6900,0,6900,27500,10934.034
7165,53273.9522,31200,0,0,0,31200,22073.9522
7886,47644.204,48000,0,0,0,48000,-355.796
8954,68197.222,57350,0,2200,2200,59550,8647.222
11940,35730.5255,18600,0,0,0,18600,17130.5255
11972,24661.051,10440,0,0,0,10440,14221.051
20174,31909.557563,22550,0,0,0,22550,9359.5575626
20179,92717.1908,24000,0,500,500,24500,68217.1908
20223,36502.2102,29600,0,0,0,29600,6902.2102
20231,43056.6924,26100,8000,10000,18000,44100,-1043.3076
20297,15408.7017,21180,15000,0,15000,36180,-20771.2983
20372,32317.4034,22800,0,0,0,22800,9517.4034
20711,33331.8238,25700,0,0,0,25700,7631.8238
20767,49208.9145,27600,0,0,0,27600,21608.9145
20837,33838.209,16800,0,0,0,16800,17038.209
20839,66211.733701,78400,0,5000,5000,83400,-17188.2663
20944,71565.118836,33600,0,30000,30000,63600,7965.1188363
21384,34567.4034,18000,0,0,0,18000,16567.4034
21461,13124.8068,16200,0,0,0,16200,-3075.1932
22074,27765.3323,21600,0,0,0,21600,6165.3323
22099,10500,10200,3500,0,3500,13700,-3200
22168,11700,10680,0,0,0,10680,1020
22169,14000,13200,0,0,0,13200,800
22173,17194.739235,13560,0,0,0,13560,3634.7392349
22208,25777.4034,18000,0,0,0,18000,7777.4034
22222,26089.260898,16800,-2000,0,-2000,14800,11289.260898
22251,24307.6816,20400,0,0,0,20400,3907.6816
22262,64539.1292,27600,0,600,600,28200,36339.1292
22263,31595.092,24000,0,5000,5000,29000,2595.092
22266,42565.2204,33600,0,0,0,33600,8965.2204
22272,31794.1794,25200,9500,450,9950,35150,-3355.8206
22273,24836.0636,21600,0,0,0,21600,3236.0636
22274,19765.586,16368,0,0,0,16368,3397.586
22276,30603.364461,13200,0,0,0,13200,17403.364461
22277,38261.294302,30000,0,1000,1000,31000,7261.2943016
22279,27050.778258,23000,0,1200,1200,24200,2850.7782577
22286,33222.913113,21600,0,2000,2000,23600,9622.9131127
22292,35490.330397,22100,0,700,700,22800,12690.330397
22353,44291.637884,30000,0,400,400,30400,13891.637884
22516,35228.1485,28800,11900,0,11900,40700,-5471.8515
22624,18273.579392,23400,0,0,0,23400,-5126.420608
22657,78010.450682,42000,10000,0,10000,52000,26010.450682
22850,44968.5447,40200,0,150,150,40350,4618.5447
22891,15069.6136,22800,0,0,0,22800,-7730.3864
22995,40538.516253,36600,0,1390,1390,37990,2548.5162528
22996,35341.192,22800,0,0,0,22800,12541.192
23193,17376.093891,20676,0,750,750,21426,-4049.906109
23370,16938.01564,8820,0,1000,1000,9820,7118.01564
23384,18100.88165,19200,0,0,0,19200,-1099.11835
23386,44403.6476,52560,0,0,0,52560,-8156.3524
23490,24019.4255,19200,0,1000,1000,20200,3819.4255
23797,28298.053371,18000,0,0,0,18000,10298.053371
23798,11797.7262,15360,0,0,0,15360,-3562.2738
23821,8899.34312,8400,0,200,200,8600,299.34312
23823,24748.78516,12720,0,500,500,13220,11528.78516
23865,45026.174919,30000,0,0,0,30000,15026.174919
23986,15750,15000,0,0,0,15000,750
24010,26150,14400,0,0,0,14400,11750
24080,61599.0404,55050,0,800,800,55850,5749.0404
24085,15562.102,13200,0,0,0,13200,2362.102
24147,88379.728198,54000,0,0,0,54000,34379.728198
24149,6902.18238,8640,0,0,0,8640,-1737.81762
24158,15721.32612,13200,0,0,0,13200,2521.32612
24171,23477.4034,11400,0,0,0,11400,12077.4034
24194,44845.6369,25250,6600,700,7300,32550,12295.6369
24195,31926.2442,20000,2000,0,2000,22000,9926.2442
24202,28782.304351,16800,0,500,500,17300,11482.304351
24312,64440.722667,24353.705667,0,0,0,24353.705667,40087.017
24322,35806.4834,20170,0,0,0,20170,15636.4834
24326,20573.1221,18600,0,0,0,18600,1973.1221
24374,33072.778071,13200,-500,400,-100,13100,19972.778071
24379,13986.593823,12000,0,0,0,12000,1986.5938234
