nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
173,34207.00111,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,0,0,0,8207.0011098,7600,0,7600,607.00110975,607.00110975,0,0,0
375,12060,0,0,0,4860,4860,4860,0,0,0,0,0,0,0,0,0,0,7200,7200,0,7200,0,0,0,0,0
465,60208.8408,49500,49500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10708.8408,10500,0,10500,208.8408,208.8408,0,0,0
629,38311.051,14500,14500,0,17550,17550,17550,0,0,0,0,0,0,0,0,0,0,6261.051,6000,0,6000,261.051,261.051,0,0,0
632,50433.153,16000,13000,3000,17550,17550,17550,0,0,0,0,0,0,0,0,0,0,16883.153,16100,10100,6000,783.153,783.153,0,0,0
633,19177.4034,0,0,0,13260,13260,13260,0,0,0,0,0,0,0,0,0,0,5917.4034,5900,0,5900,17.4034,17.4034,0,0,0
923,28753.48068,0,0,0,6750,6500,6500,0,250,0,0,250,250,0,0,0,0,22003.48068,22000,0,22000,3.48068,3.48068,0,0,0
1238,19249.93875,0,0,0,11960,11960,11960,0,0,0,0,0,0,0,0,0,0,7289.9387501,7200,0,7200,89.93875011,89.93875011,0,0,0
1367,16760,0,0,0,13760,13760,13760,0,0,0,0,0,0,0,0,0,0,3000,3000,0,3000,0,0,0,0,0
1763,11829.224389,5500,5500,0,5000,0,0,0,5000,5000,0,0,0,0,0,0,0,1329.2243892,1200,0,1200,129.2243892,129.2243892,0,0,0
1826,14239.2272,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,2539.2272,2400,0,2400,139.2272,139.2272,0,0,0
1927,10945.58025,0,0,0,9880,9880,9880,0,0,0,0,0,0,0,0,0,0,1065.58025,0,0,0,1065.58025,609.119,86.945,369.51625,0
1946,12469.7326,0,0,0,11791,11791,11791,0,0,0,0,0,0,0,0,0,0,678.7326,0,0,0,678.7326,678.7326,0,0,0
2178,31994.034,0,0,0,17420,17420,17420,0,0,0,0,0,0,0,0,0,0,14574.034,14400,0,14400,174.034,174.034,0,0,0
2274,17340,0,0,0,12740,12740,12740,0,0,0,0,0,0,0,0,0,0,4600,4600,0,4600,0,0,0,0,0
2447,41821.148084,34000,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7821.1480841,7200,0,7200,621.14808409,621.14808409,0,0,0
2485,13150,0,0,0,7150,7150,7150,0,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0
2886,32934.458915,38377.550115,38000,377.5501147,-12000,0,0,0,-12000,0,0,-12000,0,12000,0,0,0,6556.9088,6000,0,6000,556.9088,556.9088,0,0,0
3717,17099.008095,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,199.00809487,0,0,0,199.00809487,199.00809487,0,0,0
4732,3617.4034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3617.4034,3600,0,3600,17.4034,17.4034,0,0,0
5416,23500,23500,23500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7097,55721.8238,46800,46800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8921.8238,8800,0,8800,121.8238,121.8238,0,0,0
7098,38434.034,17000,15600,1400,16460,16460,16460,0,0,0,0,0,0,0,0,0,0,4974.034,4800,0,4800,174.034,174.034,0,0,0
7165,53273.9522,45500,45500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7773.9522,7200,0,7200,573.9522,139.2272,0,434.725,0
7886,47644.204,6000,6000,0,28600,28600,28600,0,0,0,0,0,0,0,0,0,0,13044.204,12000,0,12000,1044.204,1044.204,0,0,0
8954,68197.222,43150,42000,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,25047.222,30700,10500,20200,-5652.778,174.034,0,1738.9,7565.712
11940,35730.5255,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,0,0,0,9730.5255,9600,0,9600,130.5255,130.5255,0,0,0
11972,24661.051,0,0,0,7200,7200,7200,0,0,0,0,0,0,0,13000,13000,0,4461.051,4200,0,4200,261.051,261.051,0,0,0
20174,31909.557563,0,0,0,26325,26325,26325,0,0,0,0,0,0,0,0,0,0,5584.5575626,4550,0,4550,1034.5575626,138.35127435,0,896.2062882,0
20179,92717.1908,85100,85100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7617.1908,4800,0,4800,2817.1908,208.8408,0,2608.35,0
20223,36502.2102,0,0,0,24050,24050,24050,0,0,0,0,0,0,0,2000,2000,0,10452.2102,10400,0,10400,52.2102,52.2102,0,0,0
20231,43056.6924,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,33600,0,33600,-943.3076,11700,0,11700,-12643.3076,382.8748,0,0,13026.1824
20297,15408.7017,19000,17500,1500,-3600,0,0,0,-3600,0,0,-3600,0,3600,0,0,0,8.7017,0,0,0,8.7017,8.7017,0,0,0
20372,32317.4034,8400,8400,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,9617.4034,9600,0,9600,17.4034,17.4034,0,0,0
20711,33331.8238,0,0,0,24310,24310,24310,0,0,0,0,0,0,0,0,0,0,9021.8238,8900,0,8900,121.8238,121.8238,0,0,0
20767,49208.9145,38000,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11208.9145,9600,0,9600,1608.9145,522.102,0,1086.8125,0
20837,33838.209,0,0,0,25480,25480,25480,0,0,0,0,0,0,0,0,0,0,8358.209,6880,880,6000,1478.209,174.034,1304.175,0,0
20839,66211.733701,29600,28000,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,36611.733701,33432,4632,28800,3179.7337006,781.36960738,2398.3640932,0,0
20944,71565.118836,58200,57000,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,13365.118836,10800,0,10800,2565.1188363,163.28066932,324.46168783,2077.3764792,0
21384,34567.4034,5000,5000,0,1550,0,0,0,1550,1550,0,0,0,0,22000,22000,0,6017.4034,6000,0,6000,17.4034,17.4034,0,0,0
21461,13124.8068,0,0,0,8290,7800,7800,0,490,490,0,0,0,0,0,0,0,4834.8068,4800,0,4800,34.8068,34.8068,0,0,0
22074,27765.3323,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9765.3323,9600,0,9600,165.3323,165.3323,0,0,0
22099,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,7500,0,3000,3000,0,3000,0,0,0,0,0
22168,11700,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22169,14000,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
22173,17194.739235,8000,8000,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,94.739234923,0,0,0,94.739234923,94.739234923,0,0,0
22208,25777.4034,0,0,0,19760,19760,19760,0,0,0,0,0,0,0,0,0,0,6017.4034,6000,0,6000,17.4034,17.4034,0,0,0
22222,26089.260898,0,0,0,18850,18850,18850,0,0,0,0,0,0,0,0,0,0,7239.2608983,7200,0,7200,39.260898271,0,0,39.260898271,0
22251,24307.6816,0,0,0,17890,17890,17890,0,0,0,0,0,0,0,0,0,0,6417.6816,6000,0,6000,417.6816,417.6816,0,0,0
22262,64539.1292,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,26000,26000,0,12539.1292,8400,0,8400,4139.1292,661.3292,0,3477.8,0
22263,31595.092,18000,18000,0,10465,10465,10465,0,0,0,0,0,0,0,0,0,0,3130.092,0,0,0,3130.092,87.017,0,3043.075,0
22266,42565.2204,0,0,0,15343,15343,15343,0,0,0,0,0,0,0,0,0,0,27222.2204,23640,11640,12000,3582.2204,104.4204,1738.9,1738.9,0
22272,31794.1794,0,0,0,23881,23881,23881,0,0,0,0,0,0,0,0,0,0,7913.1794,7200,0,7200,713.1794,278.4544,434.725,0,0
22273,24836.0636,0,0,0,19097,19097,19097,0,0,0,0,0,0,0,0,0,0,5739.0636,4800,0,4800,939.0636,69.6136,869.45,0,0
22274,19765.586,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,1565.586,0,0,0,1565.586,696.136,0,869.45,0
22276,30603.364461,0,0,0,26260,26260,26260,0,0,0,0,0,0,0,0,0,0,4343.3644606,1200,0,1200,3143.3644606,969.73946061,2173.625,0,0
22277,38261.294302,16000,16000,0,0,0,0,0,0,0,0,0,0,0,15000,15000,0,7261.2943016,6000,0,6000,1261.2943016,103.24482585,0,1158.0494758,0
22279,27050.778258,8200,8000,200,0,0,0,0,0,0,0,0,0,0,15000,15000,0,3850.7782577,3600,0,3600,250.77825765,23.719515524,227.05874213,0,0
22286,33222.913113,15000,15000,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,7822.9131127,7200,0,7200,622.91311271,109.41918214,0,513.49393057,0
22292,35490.330397,0,0,0,23030,23030,23030,0,0,0,0,0,0,0,0,0,0,12460.330397,10100,4800,5300,2360.3303973,186.70539733,2173.625,0,0
22353,44291.637884,11100,11100,0,21450,21450,21450,0,0,0,0,0,0,0,0,0,0,11741.637884,12000,0,12000,-258.3621157,70.581884267,0,0,328.944
22516,35228.1485,15600,15600,0,12350,12350,12350,0,0,0,0,0,0,0,0,0,0,7278.1485,4800,0,4800,2478.1485,261.051,0,2217.0975,0
22624,18273.579392,15700,15700,0,817,0,0,0,817,817,0,0,0,0,0,0,0,1756.579392,1800,0,1800,-43.420608,0,0,0,43.420608
22657,78010.450682,26900,26900,0,10700,11700,11700,0,-1000,0,0,-1000,0,1000,7019.3076821,7019.3076821,0,33391.143,30000,0,30000,3391.143,348.068,3043.075,0,0
22850,44968.5447,21450,21450,0,11310,11310,11310,0,0,0,0,0,0,0,0,0,0,12208.5447,10200,0,10200,2008.5447,139.2272,0,1869.3175,0
22891,15069.6136,0,0,0,13800,23400,23400,0,-9600,4800,0,-14400,0,14400,0,0,0,1269.6136,1200,0,1200,69.6136,69.6136,0,0,0
22995,40538.516253,0,0,0,17264,17264,17264,0,0,0,0,0,0,0,0,0,0,23274.516253,22600,1000,21600,674.51625284,674.51625284,0,0,0
22996,35341.192,0,0,0,27950,27950,27950,0,0,0,0,0,0,0,0,0,0,7391.192,6000,0,6000,1391.192,87.017,1304.175,0,0
23193,17376.093891,0,0,0,17320,16120,16120,0,1200,1200,0,0,0,0,0,0,0,56.093890721,0,0,0,56.093890721,56.093890721,0,0,0
23370,16938.01564,0,0,0,16510,16510,16510,0,0,0,0,0,0,0,0,0,0,428.01564,0,0,0,428.01564,297.59814,0,130.4175,0
23384,18100.88165,0,0,0,12740,12740,12740,0,0,0,0,0,0,0,0,0,0,5360.88165,4800,0,4800,560.88165,104.4204,0,456.46125,0
23386,44403.6476,34800,34800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9603.6476,9360,0,9360,243.6476,243.6476,0,0,0
23490,24019.4255,0,0,0,14950,14950,14950,0,0,0,0,0,0,0,0,0,0,9069.4255,7200,0,7200,1869.4255,130.5255,0,1738.9,0
23797,28298.053371,24600,24600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3698.0533707,3600,0,3600,98.053370688,98.053370688,0,0,0
23798,11797.7262,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,97.726199561,0,0,0,97.726199561,97.726199561,0,0,0
23821,8899.34312,0,0,0,6981,6981,6981,0,0,0,0,0,0,0,0,0,0,1918.34312,1800,0,1800,118.34312,118.34312,0,0,0
23823,24748.78516,11300,11300,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,5648.78516,5520,0,5520,128.78516,128.78516,0,0,0
23865,45026.174919,13000,13000,0,26000,26000,26000,0,0,0,0,0,0,0,0,0,0,6026.1749188,6000,0,6000,26.174918788,26.174918788,0,0,0
23986,15750,0,0,0,9750,9750,9750,0,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0
24010,26150,0,0,0,20150,20150,20150,0,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0
24080,61599.0404,44050,43000,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,17549.0404,18000,0,18000,-450.9596,174.034,0,0,624.9936
24085,15562.102,0,0,0,7840,7840,7540,300,0,0,0,0,0,0,0,0,0,7722.102,7200,0,7200,522.102,522.102,0,0,0
24147,88379.728198,21000,21000,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,46579.728198,44000,14000,30000,2579.7281984,382.8748,1110.0408984,1086.8125,0
24149,6902.18238,0,0,0,6890,6890,6890,0,0,0,0,0,0,0,0,0,0,12.18238,0,0,0,12.18238,12.18238,0,0,0
24158,15721.32612,0,0,0,12090,12090,12090,0,0,0,0,0,0,0,0,0,0,3631.32612,3600,0,3600,31.32612,31.32612,0,0,0
24171,23477.4034,0,0,0,12260,12260,11960,300,0,0,0,0,0,0,7000,7000,0,4217.4034,4200,0,4200,17.4034,17.4034,0,0,0
24194,44845.6369,32500,31600,900,500,0,0,0,500,0,0,500,500,0,5000,5000,0,6845.6369,6350,0,6350,495.6369,60.9119,0,434.725,0
24195,31926.2442,13800,13000,800,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,3826.2442,3600,0,3600,226.2442,226.2442,0,0,0
24202,28782.304351,0,0,0,20070,19320,19320,0,750,750,0,0,0,0,0,0,0,8712.3043509,8400,0,8400,312.30435091,312.30435091,0,0,0
24312,64440.722667,58353.705667,58000,353.7056669,0,0,0,0,0,0,0,0,0,0,0,0,0,6087.017,6000,0,6000,87.017,87.017,0,0,0
24322,35806.4834,13000,13000,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,2006.4834,250,0,250,1756.4834,234.9459,1521.5375,0,0
24326,20573.1221,0,0,0,13260,13260,13260,0,0,0,0,0,0,0,0,0,0,7313.1221,7200,0,7200,113.1221,113.1221,0,0,0
24374,33072.778071,26000,26000,0,500,0,0,0,500,500,0,0,0,0,0,0,0,6572.7780708,4800,0,4800,1772.7780708,109.64142,0,1926.2918508,263.1552
24379,13986.593823,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,4886.5938234,4800,0,4800,86.593823435,86.593823435,0,0,0
24382,17658.219279,3000,3000,0,11050,11050,11050,0,0,0,0,0,0,0,0,0,0,3608.2192794,3600,0,3600,8.219279438,8.219279438,0,0,0
24393,17874.113135,0,0,0,12350,12350,12350,0,0,0,0,0,0,0,0,0,0,5524.1131353,5400,0,5400,124.1131353,124.1131353,0,0,0
24529,82256.65944,44070.200698,43000,1070.200698,25350,24050,24050,0,1300,0,1300,0,0,0,0,0,0,12836.458742,12000,0,12000,836.45874156,836.45874156,0,0,0
24571,19952.136,0,0,0,14456,14456,14456,0,0,0,0,0,0,0,0,0,0,5496.136,4800,0,4800,696.136,696.136,0,0,0
24616,22144.034,0,0,0,21970,21970,21970,0,0,0,0,0,0,0,0,0,0,174.034,0,0,0,174.034,174.034,0,0,0
24760,14400,0,0,0,10800,10800,10800,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
24764,23069.6136,17000,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6069.6136,6000,0,6000,69.6136,69.6136,0,0,0
24809,64247.167,22000,22000,0,14950,14950,14950,0,0,0,0,0,0,0,0,0,0,27297.167,24600,10000,14600,2697.167,2262.442,0,434.725,0
24853,51655.582606,45000,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6655.5826064,6600,0,6600,55.582606358,55.582606358,0,0,0
24885,7893.3370496,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,93.337049556,0,0,0,93.337049556,93.337049556,0,0,0
24924,20701.24535,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,30000,0,-9298.75465,0,0,0,-9298.75465,91.36785,0,478.1975,9868.32
